purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0187300006525000647;;567;orders;Закупка № 0187300006525000647 Приложение 2 НМЦК - 2025-04-30T110929.463.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0187300006525000647 Приложение 2 НМЦК - 2025-04-30T110929.463.xlsx;;567: инэкономразвития России от 02.10.2013 № 567). Начальная максимальная цена контракта
0187300006525000777;;567;orders;Закупка № 0187300006525000777 Приложение 2 НМЦК - 2025-04-30T110929.463.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0187300006525000777 Приложение 2 НМЦК - 2025-04-30T110929.463.xlsx;;567: инэкономразвития России от 02.10.2013 № 567). Начальная максимальная цена контракта
0187500000425000064;22;;article;Закупка № 0187500000425000064 РНМЦК.xlsx.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0187500000425000064 РНМЦК.xlsx.xlsx;22: Иной метод,  в соответствии со статьей 22 Федерального закона от 05.04.2013 № 44-;
0187500000425000065;22;;article;Закупка № 0187500000425000065 Расчет_НМЦК - Поставка лодки.xlsx.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0187500000425000065 Расчет_НМЦК - Поставка лодки.xlsx.xlsx;22: х цен (анализ рынка)  в соответствии со статьей 22 Федерального закона от 05.04.2013 № 44-;
0301100021425000011;;567;orders;Закупка № 0301100021425000011 Приложение № 1 Обоснование НМЦК (гибкое ограждение Казань).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301100021425000011 Приложение № 1 Обоснование НМЦК (гибкое ограждение Казань).xlsx;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац"
0301200077625000010;22;;article;Закупка № 0301200077625000010 НМЦК.xlsx.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301200077625000010 НМЦК.xlsx.xlsx;22: ыночных цен (анализа рынка) - п. 1 ч. 1 ст. 22, Федерального закона от 05.04.2013 N 44;
0301200077625000032;22;;article;Закупка № 0301200077625000032 НМЦК.zip.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301200077625000032 НМЦК.zip.xlsx;22: ыночных цен (анализа рынка) - п. 1 ч. 1 ст. 22, Федерального закона от 05.04.2013 N 44;
0318100060325000004;22;567;orders+article;Закупка № 0318100060325000004 Приложение № 1 - НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318100060325000004 Приложение № 1 - НМЦК.xlsx;22:  методом расчета НМЦК в соответствии со статьей 22 Федерального закона № 44-ФЗ от 05.04.20;567: 0 раздела III приказа от 02.10.2013г. № 567 «Об утверждении методических рекомендац | ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац
0318200030225000001;22;567;orders+article;Закупка № 0318200030225000001 Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318200030225000001 Обоснование НМЦК.xlsx;22: сполнителем), в соответствии с частью 6 статьи 22 Федерального закона от 5 апреля 2013 г.;"567: ийской Федерации от 2 октября 2013 г. № 567 ""Об утверждении методических рекомендац"
0318200030225000002;22;567;orders+article;Закупка № 0318200030225000002 Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318200030225000002 Обоснование НМЦК.xlsx;22: сполнителем), в соответствии с частью 6 статьи 22 Федерального закона от 5 апреля 2013 г.;"567: ийской Федерации от 2 октября 2013 г. № 567 ""Об утверждении методических рекомендац"
